x,y
72,44
33,54
78,78
71,71
26,39
27,49
9,102
43,13
47,48
28,63
34,6
65,82
63,83
34,59
47,38
79,89
24,47
33,56
17,78
5,68
60,66
28,35
61,74
62,78
31,66
79,85
51,91
26,78
74,93
28,53
8,76
43,70
36,58
62,63
22,35
42,58
44,58
45,60
6,81
69,94
26,84
54,43
31,49
29,52
38,73
57,62
38,67
32,30
26,58
79,80
44,72
27,43
58,55
76,87
49,76
58,15
31,27
77,74
46,63
76,69
14,96
22,85
43,17
53,69
25,53
72,55
34,54
25,51
44,7
52,7
43,48
46,8
24,54
69,32
58,34
49,48
26,34
42,56
60,99
11,51
59,58
67,40
76,70
77,73
23,33
79,42
10,87
39,43
56,47
64,83
73,38
61,52
34,69
64,54
38,66
37,9
58,54
64,69
31,53
71,104
69,71
35,71
66,73
79,75
36,55
15,69
41,58
67,6
80,92
23,56
75,79
65,20
51,39
45,52
70,44
68,77
74,52
45,38
39,66
64,68
37,66
69,69
38,39
64,33
10,52
35,66
44,44
6,41
65,47
72,34
68,53
46,64
51,58
41,7
55,38
53,43
25,32
30,54
60,48
37,54
31,39
65,36
73,26
21,21
65,49
56,31
42,63
29,30
72,40
72,39
37,65
53,68
12,76
62,46
63,66
58,90
38,3
52,27
30,57
54,47
36,16
58,51
55,13
53,45
39,63
70,68
73,90
25,70
77,77
54,51
45,54
30,58
52,51
74,100
51,25
26,64
71,100
76,80
45,88
75,59
29,56
63,66
57,58
45,49
78,61
56,38
75,48
30,24
39,18
26,36
26,57
25,39
38,19
25,65
45,64
29,29
57,48
45,70
58,60
75,84
6,3
29,53
77,49
44,41
75,61
63,78
53,37
35,43
51,33
52,59
66,32
75,70
37,55
71,48
40,49
44,17
36,30
42,43
79,57
60,117
22,10
14,43
21,38
78,68
78,72
41,7
37,44
9,62
39,47
41,57
74,110
75,72
46,44
29,37
42,33
75,47
39,29
69,61
74,52
42,47
77,75
22,54
2,20
15,85
59,23
38,39
76,75
42,54
32,31
42,47
80,89
73,18
26,83
76,80
65,66
34,74
76,77
29,63
39,78
35,79
57,43
31,41
77,65
44,68
19,52
33,65
49,57
27,49
25,64
23,56
22,69
32,43
41,20
27,69
73,77
62,95
67,106
52,1
39,11
15,37
35,64
41,61
15,50
58,63
70,86
24,69
58,79
75,71
70,64
23,77
67,71
23,28
32,57
23,55
35,50
73,37
50,48
50,72
38,57
72,59
50,14
49,36
64,36
64,57
29,48
20,37
73,63
25,37
21,24
41,19
76,79
77,75
22,73
7,85
50,54
67,30
42,55
39,67
50,75
69,29
76,54
68,36
77,69
57,73
76,72
41,61
77,94
77,108
71,40
50,68
23,43
56,46
39,65
44,48
45,74
68,87
29,56
64,107
32,44
77,70
54,42
71,38
51,32
38,63
74,89
73,85
43,75
28,50
67,59
33,63
59,74
66,66
58,77
76,74
77,71
75,66
25,63
29,50
38,15
32,92
39,7
31,34
52,77
46,71
73,71
37,54
34,56
54,59
78,30
76,87
58,103
40,67
58,73
71,82
61,70
35,65
76,57
36,67
40,57
73,70
78,93
54,82
33,62
76,84
63,85
39,69
17,84
46,42
47,5
62,50
22,78
39,73
9,76
65,56
43,51
41,83
14,89
42,78
36,29
39,43
25,55
